'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1831;47588;999;'';'';'';;;;;1829;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47588;999;'';'';'';;;;;1679;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47607;999;'';'';'';;;;;627;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47607;999;'';'';'';;;;;643;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47607;999;'';'';'';;;;;650;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47607;999;'';'';'';;;;;652;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47607;999;'';'';'';;;;;790;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47621;999;'';'';'';;;;;3137;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47621;999;'';'';'';;;;;3291;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47621;999;'';'';'';;;;;3263;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47621;999;'';'';'';;;;;3420;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47621;999;'';'';'';;;;;3463;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47663;999;'';'';'';;;;;5632;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47663;999;'';'';'';;;;;972;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47663;999;'';'';'';;;;;3128;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47663;999;'';'';'';;;;;3509;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47663;999;'';'';'';;;;;1821;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47690;999;'';'';'';;;;;4170;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47690;999;'';'';'';;;;;5206;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47690;999;'';'';'';;;;;13887;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47690;999;'';'';'';;;;;4744;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47690;999;'';'';'';;;;;4750;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47675;999;'';'';'';;;;;4456;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47675;999;'';'';'';;;;;2075;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47675;999;'';'';'';;;;;4878;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47675;999;'';'';'';;;;;4952;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47675;999;'';'';'';;;;;3898;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47649;999;'';'';'';;;;;1379;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47649;999;'';'';'';;;;;1376;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47649;999;'';'';'';;;;;1259;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47649;999;'';'';'';;;;;1233;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47649;999;'';'';'';;;;;1242;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
